Symbol,Name,Industry,Market Cap,Sector,Country
SAI,SAI.TECH Global Corporation,Software Publishers,119816432.0,Financial Services,Singapore
SAIA,"Saia, Inc.",Road & Rail,5183440752.0,Industrials,United States
SAIC,Science Applications International Corporation,IT Services,4761884595.0,Technology,United States
SAIL,"SailPoint Technologies Holdings, Inc.",Software,5973384130.0,Technology,United States
SAL,"Salisbury Bancorp, Inc.",Banks,151123766.0,Financial Services,United States
SALM,"Salem Media Group, Inc.",Media,76473582.0,Communication Services,United States
SAM,"The Boston Beer Company, Inc.",Beverages,4209466541.0,Consumer Defensive,United States
SAMA,Schultze Special Purpose Acquisition Corp. II,Blank Check / SPAC,202950000.0,Financial Services,United States
SAMG,Silvercrest Asset Management Group Inc.,Capital Markets,196551300.0,Financial Services,United States
SAN,"Banco Santander, S.A.",Banks,54643511295.0,Financial Services,Spain
SANA,"Sana Biotechnology, Inc.",Biotechnology,859196094.0,Healthcare,United States
SANB,Sanaby Health Acquisition Corp. I,Blank Check / SPAC,224698510.0,Financial Services,United States
SAND,Sandstorm Gold Ltd.,Metals & Mining,1268678400.0,Basic Materials,Canada
SANG,Sangoma Technologies Corporation,Software-Infrastructure,174087107.0,Technology,Canada
SANM,Sanmina Corporation,"Electronic Equipment, Instruments & C...",2613254137.0,Technology,United States
SANW,S&W Seed Company,Food Products,53612011.0,Consumer Defensive,United States
SAP,SAP SE,Software,118000000000.0,Technology,Germany
SAR,Saratoga Investment Corp.,Capital Markets,318502734.0,Financial Services,United States
SASI,"Sigma Labs, Inc.",Aerospace & Defense,12598560.0,Technology,United States
SASR,"Sandy Spring Bancorp, Inc.",Banks,1892833273.0,Financial Services,United States
SATL,Satellogic Inc.,Scientific & Technical Instruments,499041564.0,Technology,United States
SATS,EchoStar Corporation,Communications Equipment,2007411946.0,Technology,United States
SAVA,"Cassava Sciences, Inc.",Pharmaceuticals,1022057850.0,Healthcare,United States
SAVE,"Spirit Airlines, Inc.",Airlines,2157173498.0,Industrials,United States
SB,"Safe Bulkers, Inc.",Marine,554719421.0,Industrials,Monaco
SBAC,SBA Communications Corporation,Equity Real Estate Investment Trusts ...,36494725050.0,Real Estate,United States
SBCF,Seacoast Banking Corporation of Florida,Banks,2075060862.0,Financial Services,United States
SBET,SharpLink Gaming Ltd.,Gambling,20082413.0,Consumer Cyclical,United States
SBEV,"Splash Beverage Group, Inc.",Beverages-Brewers,72972903.0,Consumer Defensive,United States
SBFG,"SB Financial Group, Inc.",Banks,126801738.0,Financial Services,United States
SBGI,"Sinclair Broadcast Group, Inc.",Media,1689763436.0,Communication Services,United States
